mean_values, std_dev_values, skewness_values, kurtosis_values, rms_values, zc_rate_values, spectral_centroid_values, spectral_bandwidth_values, spectral_skewness_values, spectral_kurtosis_values, mean_rr_intervals, sdnn_values, rmssd_values, Category
-0.002746989,0.115322595,2.267420614,10.19956361,0.115350503,0.003666972,199.9032346,194.6528684,42.82091721,2365.272378,0.148214286,0.353490108,0.540919208,0
-0.001871134,0.126414115,4.465269394,26.91364123,0.126422695,0.004833736,199.9728527,192.0247549,27.00703132,1095.911819,0.14154878,0.371365983,0.560967083,0
-0.001345622,0.122143564,4.115351794,25.66811896,0.122145887,0.004000333,199.9923933,192.9532153,27.65546887,951.2879371,0.171052632,0.447719289,0.676800811,0
-0.002544352,0.104004101,4.800392089,32.23621286,0.104030886,0.003666972,199.8970226,192.2873814,14.33335635,322.1859029,0.187116667,0.477987579,0.724960945,0
-0.00201355,0.277629787,0.209510934,8.870419679,0.277625521,0.001666806,200.0061467,196.4454301,19.17995605,453.5740236,0.068435294,0.204526731,0.303495458,0
-0.001160278,0.119843326,4.416250641,28.86570164,0.119843949,0.003666972,199.9979199,193.2547207,20.31904972,602.7459159,0.181602564,0.469934617,0.71150998,0
-0.004307658,0.17770697,2.970163239,15.69931362,0.17775177,0.006667222,199.8991997,191.7455853,14.16052747,313.4047475,0.124838362,0.279990918,0.432264687,0
-0.0012382,0.193404544,-1.751649878,9.808112542,0.193400449,0.002166847,200.0084696,192.9247771,24.68144708,938.133933,0.082606838,0.247725451,0.368124736,0
-0.002049561,0.108524464,1.769109598,7.652740013,0.108539295,0.002333528,199.9453477,194.5411333,15.48697343,341.1141056,0.137767442,0.346970641,0.526823325,0
-0.001916504,0.112338496,1.869985911,7.999077664,0.112350163,0.002500208,199.958466,195.265093,25.14926867,824.8880942,0.175339506,0.38400164,0.595846128,0
-0.00183431,0.108091379,1.732369199,7.589897412,0.108102439,0.001833486,199.9590789,194.3255859,12.84030575,215.7195058,0.131433333,0.338685543,0.512651763,0
0.003893636,0.148901212,3.960870191,24.77518729,0.148945908,0.005167097,199.8799834,191.4058783,16.51593635,409.5981715,0.157526882,0.364051803,0.559815969,0
0.00178304,0.325688907,3.421800395,16.12556635,0.325680217,0.006833903,200.0106728,192.7511894,14.56835406,297.5260342,0.092365931,0.243081243,0.366578594,0
-0.002236939,0.11706826,4.637456662,30.24175476,0.117084753,0.003833653,199.9436595,192.6139669,24.11457894,827.5022996,0.170763473,0.452409106,0.682872102,0
-0.001723836,0.116365675,4.499230635,29.80378191,0.116373595,0.003666972,199.9727797,192.8140457,25.82616679,877.4520221,0.202619863,0.502609598,0.765428717,0
-0.001781616,0.111586639,1.932538278,8.507309825,0.111596212,0.003666972,199.9656886,195.2370851,37.57699286,1751.578865,0.163729282,0.393204483,0.601247141,0
-0.002598877,0.113696678,1.419329853,7.093145451,0.113721641,0.002166847,199.9122077,194.1401254,10.81806566,156.2718606,0.109961538,0.294665406,0.443667151,0
-0.000853678,0.110907398,4.849217578,31.87721007,0.110906062,0.004000333,200.0048173,192.3289364,11.72979076,181.0198103,0.182484663,0.467332073,0.708510708,0
0.000797526,0.295858674,3.16972841,14.58922822,0.295847421,0.007083924,200.0152145,192.7102719,22.44427689,632.5933175,0.089878419,0.233747115,0.352975862,0
-0.002871908,0.121113408,2.04751946,9.303821877,0.121142408,0.004833736,199.9042555,193.9074607,12.61562924,203.334886,0.139317073,0.338823056,0.516936619,0
0.001694336,0.31565701,3.400849802,15.94753194,0.315648405,0.006833903,200.0109049,192.7894498,14.92486345,315.895065,0.084854651,0.230781441,0.346589485,0
0.000327148,0.323831852,3.026778477,13.79697567,0.323818524,0.007333944,200.0164639,193.0158924,36.97429601,1882.483031,0.089016517,0.230791652,0.348632872,0
-0.002409871,0.196873013,0.190489564,13.39402131,0.196879559,0.004833736,199.9867004,196.3705136,23.02643269,583.4747105,0.150050505,0.39469941,0.596102826,0
-0.003257853,0.118441389,3.967846179,24.45383125,0.118481253,0.004167014,199.8654408,193.1960299,17.14493456,405.4613397,0.162639665,0.429375013,0.648308083,0
-0.002944743,0.114057731,2.01014524,8.44201461,0.114090987,0.003500292,199.8834208,193.6304095,14.71142722,302.329288,0.12332618,0.300177729,0.457752251,0
